y_test,y_pred
[206.8273],116.23030339248456
[206.8272],144.25755069250397
[204.0288],111.63482566762136
[197.1271],83.70750113028971
[89.8733],66.47948287816814
[89.8719],45.44757724391638
[59.9427],87.07607689075262
[49.7636],52.212624702383195
[28.9973],140.97303539649891
[28.9967],46.659111588347976
[25.6762],143.6227295428011
[24.0594],87.23197615583068
[10.8156],31.799244174112875
[10.8129],48.49162050098808
[4.0238],19.530307470499118
[4.0238],52.42806398882967
[1.1559],15.453640788791327
[0.7372],72.42061789927456
[0.0005],59.899783275674466
[0.0003],97.71700051390066
[217.9356],116.23030339248456
[217.9356],218.9771300797215
[213.1036],189.7585722670597
[155.1969],231.92568225338835
[126.1957],167.58939520466802
[125.9528],85.9547399139559
[125.9528],60.453834731777064
[121.2213],40.752954931974664
[91.231],146.51687285585442
[91.1228],383.5592726255529
[91.1222],148.52780233351032
[647.854],116.23030339248456
[647.854],144.25755069250397
[592.2441],74.5477282568095
[587.2388],47.119439215508834
[587.2293],173.43217446463944
[587.2289],76.30611160495995
[587.0666],79.81661018719194
[583.9935],380.4826370619968
[564.2266],239.86510943137174
[556.9944],254.74105460112386
[556.986],223.43130823885488
[556.986],172.8610469802223
[556.0246],122.58032897305772
[550.059],76.81448034664663
[550.0339],67.9621905756189
[550.0338],91.54428365290372
[550.0336],338.22145512422196
[361.2085],212.18728660811027
[76.9556],101.62932861357646
[76.9157],52.58927759960913
[76.8408],43.940234277896124
[9.9841],11.775764921248246
[0.0004],59.171772195029625
[0.0003],45.93276203510155
[164.9985],116.23030339248456
[164.9985],144.25755069250397
[161.8063],121.06872255588519
[60.0689],61.95956580972946
[52.0431],67.38853649173535
[51.9631],56.841285054374865
[51.8505],50.13068882482824
[44.0074],50.692644087305354
[41.4603],40.892917635256325
[37.6334],42.07608283740343
[15.7524],1.6284763596581882
[15.7512],22.40061580058625
[15.7465],9.758355219813993
[14.7433],7.829746813744086
[14.7433],-5.937884983684773
[14.7432],-0.7599562556135627
[2.8789],16.98377127497781
[2.8785],18.914085472286438
