y_test,y_pred
[131.9619],27.789694412700143
[131.9619],173.11923169307627
[130.2177],162.98984669625517
[126.8508],97.43917954782859
[0.7757],36.367700113998666
[0.7757],25.285431896809843
[70.4156],36.367700113998666
[70.4156],25.285431896809843
[0.7127],20.79363447773177
[7.8908],41.044384414344236
[7.8908],21.039715378678423
[7.7211],7.367455500516835
[7.6372],6.7286051548843915
[6.7738],5.913590750928541
[2.7559],2.513250716235163
[2.6968],1.9717694977181517
[1.8841],2.636854745250495
[1.6416],0.9332431343997727
[0.8361],27.789694412700143
[0.8361],26.824581284121255
[0.0401],12.666409939317147
[0.04],11.24067920448181
[0.0002],1.4562236286825045
[0.7692],24.806179197238286
[0.7692],22.313689837211438
[0.0215],9.637481100087525
[0.0214],8.813608130315844
[0.0002],0.7669657380809455
[21.991],27.789694412700143
[21.991],22.376510028779546
[21.3264],14.42849147133719
[21.3263],15.374532757199535
[6.9722],8.711324941645639
[6.9721],14.272018161839487
[6.1685],9.306905819648772
[0.4609],20.22854924191881
[0.4609],17.67737411593322
[0.3427],7.358077828490964
[0.0706],3.110664409101763
[0.0004],-1.1762260486543246
[0.0002],-1.6230407711488446
[3.9064],10.773737489149307
[3.9064],9.098453557173372
[3.6953],4.865320509444781
[3.6948],6.2804263266427
[1.9586],2.142004967766668
[1.9584],4.273964157421682
[0.9661],2.319981976014016
[3.1326],27.789694412700143
[3.1326],26.824581284121255
[0.3377],8.89055357263274
[0.0007],2.3829093126517877
[21.0037],21.97924432114268
[21.0037],14.8680098653796
[20.9153],9.678965388237735
[18.2056],10.628190047117778
[4.0693],8.272774587445584
[4.069],16.520663445618236
[1.3482],7.716254781379709
[51.922],24.806179197238286
[51.922],22.313689837211438
[49.3771],10.613884362874783
[49.2022],8.08188710855782
[49.2021],8.724177557959843
[30.9388],6.399513336584433
[30.9381],5.058309593251412
[13.158],3.378543244480624
[6.9091],-4.212777242330844
[6.9089],3.337635277411463
[6.9086],-3.3606996831334937
[6.9083],8.176633289707254
[4.8615],11.371103527232027
[4.861],10.036756787519392
[4.8608],13.27505561646729
[4.8464],5.040347181145655
[4.8461],7.847378001391261
[0.0003],-3.112464482560768
[10.1835],24.806179197238286
[10.1835],22.313689837211438
[7.6592],14.8532079397363
[0.0007],3.156450225407374
[135.1192],14.467856141780624
[135.1192],181.93042903506117
[134.9479],173.7316912759903
[16.0322],19.089790055623624
[16.0322],18.237180001426424
[15.9249],8.929337451511614
[14.2658],16.08684409119704
[14.205],10.559634780252948
[6.2498],7.036568302847488
[0.0007],-1.0835913305614298
[0.9891],6.3045480073577815
[0.9891],3.8135090542198307
[0.9681],1.8253229887079996
[0.9466],0.2113807153196176
[0.2779],0.10787449540201534
[64.716],33.195367189829646
[64.716],30.055124883636367
[64.6777],69.11703657250108
[0.0003],14.570971410390637
[34.8894],48.91652438315707
[34.8894],33.455944543563575
[34.8829],26.56791866938916
[34.8826],23.170508146151363
[18.1551],14.446743579322934
[18.1546],19.494911247140237
[0.0004],2.6440368384946975
[0.047],12.248067805681595
[0.047],11.28082073426769
[0.0324],-0.32521990696180286
[0.0009],-1.2714782630486465
[0.0003],-1.726959000747482
[2.3006],28.284909334137765
[2.3006],25.790803209526604
[1.0344],7.296897867697695
[1.0085],3.6931368727650558
[0.0002],1.9066860435937294
[13.8668],19.089790055623624
[13.8668],17.808397523973774
[13.8388],8.431959299155634
[12.6431],13.068229600037807
[11.6466],7.899582619513108
[11.6058],8.13745340970812
[4.9663],5.753091526184295
[4.6302],0.18721190480703076
[5.8626],19.089790055623624
[5.8626],12.295272817591398
[5.68],8.431959299155634
[4.9906],6.450642266597716
[2.7364],4.256466091177803
[17.0642],19.032096665268185
[17.0642],16.241097321788573
[14.8737],22.48208314381358
[14.1967],15.901776162416423
[0.8623],3.160662943204434
[119.0045],41.044384414344236
[119.0045],111.65692391810865
[118.7916],108.54047813655329
[1.7423],15.838576436210236
[1.7423],12.669802918444919
[1.6216],5.960762804856838
[1.0395],2.5535957244865086
[1.012],1.2582328708049721
[24.0236],24.806179197238286
[24.0236],22.313689837211438
[24.0044],17.728267277500983
[9.1151],14.609765502483706
[9.1063],19.919605695739598
[0.0001],0.9436796069630278
[15.9777],21.97924432114268
[15.9777],19.234151617578203
[15.808],22.952987525236264
[14.9464],15.784906572161434
[0.7581],0.6556960531971863
[12.104],27.789694412700143
[12.104],26.824581284121255
[10.2763],19.93112739552099
[10.2762],17.63537437036959
[0.0004],4.672691022573548
[0.757],10.773737489149307
[0.757],9.098453557173372
[0.7306],4.776278298172422
[0.7298],7.187510449646908
[0.0016],1.5375896995132727
[62.0471],24.806179197238286
[62.0471],22.313689837211438
[60.1934],66.92423362640857
[60.1932],64.61763691422357
[0.0003],-2.8937157462191467
[7.8326],6.3045480073577815
[7.8326],3.8135090542198307
[1.8835],11.048903427619209
[0.1907],0.3775887321599298
[0.0077],-2.4585901264573264
[22.7676],20.22854924191881
[22.7676],17.67737411593322
[22.7236],27.78061948974608
[22.0129],26.104873056690707
[0.0002],8.795604891334168
[0.7236],41.044384414344236
[0.7236],25.709606154626922
[0.716],41.044384414344236
[0.716],25.709606154626922
[0.6905],41.044384414344236
[0.6905],25.709606154626922
[90.4991],29.879132378919273
[90.4991],27.38492287901542
[88.8095],16.300891448896067
[88.8093],13.442892094768938
[88.7608],48.326897882461125
[60.6329],29.799252194439337
[57.803],42.29426201654011
[6.7355],6.772243691789168
[0.0004],58.117951841481215
[0.0002],19.869688554103185
[4.7595],35.73067905014991
[4.7595],31.127681379732387
[3.6329],10.2362528061192
[0.8581],6.257465139836115
[0.656],3.9965336501111204
[78.0129],24.806179197238286
[78.0129],22.313689837211438
[77.1356],10.102063490737802
[56.7921],33.0424386458238
[56.791],47.96001823557143
[56.7888],43.7271008536369
[56.7874],39.138140694046186
[0.0003],2.4746082506729814
[0.0001],33.169500946232304
[13.6972],21.97924432114268
[13.6972],19.234151617578203
[13.6833],7.195940549033342
[8.9157],3.7013696958383857
[6.5934],2.88794263896427
[2.5391],3.8639279965464457
[0.7821],4.8411662201468415
[4.8026],35.73067905014991
[4.8026],31.127681379732387
[3.7676],8.160693847882769
[0.6151],2.59288594268796
[0.0567],2.5731425551243543
[0.0008],-0.32540764764834446
[0.0003],-1.6949012511707109
[61.7222],35.73067905014991
[61.7222],31.127681379732387
[60.7237],46.67483257167949
[32.6496],45.74246750855405
[0.0002],53.87536026936936
[18.7098],29.879132378919273
[18.7098],31.03995403125188
[17.8381],23.693454224056673
[17.8379],22.79597650202877
[17.7785],16.297743838728486
[11.9964],8.558271034118645
[10.8373],7.386960790269918
[0.0456],4.284545545642246
[0.0456],2.009859275600303
[0.0031],0.7353311668162251
[2.9009],6.3045480073577815
[2.9009],3.8135090542198307
[2.839],1.8253229887079996
[0.9943],2.011901834469886
[0.0003],0.7914124304122074
[49.3605],33.195367189829646
[49.3605],30.055124883636367
[49.3057],59.91977672913847
[49.3048],58.73950224187206
[42.9181],49.57709548478498
[42.9168],30.331733052111336
[0.0012],-12.227358634370416
[14.1927],10.773737489149307
[14.1927],16.911999510731786
[14.01],21.73428789706045
[3.9054],43.868684243093035
[3.9054],23.85899467918208
[3.8638],8.563438656158494
[119.0121],6.3045480073577815
[119.0121],3.8135090542198307
[118.298],1.8253229887079996
[118.2972],124.78414629157128
[116.1841],97.06900704059832
[0.0165],21.208341838186104
[0.0144],45.26287911824192
[11.7996],27.789694412700143
[11.7996],26.824581284121255
[11.7582],19.558982554205386
[11.7581],17.43110938588076
[0.0017],5.716983517280916
[18.7994],15.717042553910483
[18.7994],18.603396589952723
[16.2759],21.690150916925997
[120.1378],35.73067905014991
[120.1378],31.127681379732387
[116.8812],118.69485410468184
[111.0354],70.12840702708593
[0.0002],11.95321307821774
[154.0979],48.91652438315707
[154.0979],244.3616910058538
[153.911],234.7542086140606
[153.9107],223.83239982682792
[152.9162],231.34588544738622
[152.916],206.1947457685004
[146.9935],165.98749429391262
[112.0138],150.90550559707404
[112.0126],165.04933145194767
[40.1322],41.044384414344236
[40.1322],50.80365530671014
[39.2349],48.723154451639324
[0.8559],20.22854924191881
[0.8559],17.67737411593322
[0.6505],6.360647911340095
[0.0944],3.110664409101763
[0.0016],-1.1762260486543246
[0.0003],-1.6230407711488446
[2.75],41.044384414344236
[2.75],25.709606154626922
[0.0004],10.0301994134073
[0.0003],8.813608130315844
[0.0002],0.3598569453921369
[2.9344],4.284545545642246
[2.9344],4.105389854545056
[2.9128],2.689933378942785
[1.1447],13.15251755303754
[1.1447],11.494095764831725
[1.054],5.106817357855962
[1.0511],1.4698081086250856
[0.0717],0.949447258698764
[0.2715],36.367700113998666
[0.2715],25.285431896809843
[0.2063],9.654558999188067
[29.6591],6.3045480073577815
[29.6591],3.8135090542198307
[29.6233],25.443524536103375
[28.846],21.38631956401036
[23.5276],16.893514825829815
[21.9746],15.236141493349656
[20.9903],13.205143787819795
[0.0005],-1.6269622727200759
[1.7947],48.91652438315707
[1.7947],33.455944543563575
[1.6476],11.990497352422244
[0.1091],9.198295002187063
[0.0518],1.5093019565137722
[0.0516],0.2238094453238053
[0.0503],1.034806657676744
[15.1918],27.789694412700143
[15.1918],26.824581284121255
[14.5965],24.535129224364216
[0.0019],4.025855571413507
[151.1048],48.91652438315707
[151.1048],98.78180471547385
[150.9232],234.7542086140606
[150.9227],223.83239982682792
[147.1674],193.57541681509016
[147.1664],234.19316522621125
